Review Title,Rating,Review Body,Review Date,cleaned_body
No title,No rating,"I was surprised when the displayed display (handed over? ...) came out even though it had not arrived, but after that, it was quite delayed during delivery, but it was delivered safely.Not only this, it took almost a month to change the composition, such as the D15S's 17XX compatible mount kit temporarily missed, and seriously changed the configuration.The PC that was difficult, but the finished PC was blue, black screen, freeze-fired nightmare ASUSZ790-PD4CSM+i5-13600K configuration, stable from the beginning, and blue screen is OC+Cinevent R23 only (◎).The PC configuration is MB ASROCK Z690 PRO RS+CPU (this)+memory CFD DDR4 3200 16g × 2+CPU cooler D15S plus 12㎝ fan (diversion S), below.Each numbers at the unlimited power of Cineten R23 (maximum 5g㎐), 65W*short hours 120W*120W*peak temperature 62 ° C are ASUS Z790+i5-13600K configuration 23000*18000, this is about 18000*13000, eachThe performance is about 72 %.There is no point to look at in terms of performance, but it is much quieter when electricity is unlimited, which seems to be a big difference between the MB manufacturer used, the PC case, and the CPU cooler.It is a bit painful to buy 11pro.Currently about 13600k 47,000 yen, 78 % of this costs 36600 yen, 72 %, 33840 yen.At 31028 yen at the time of purchase, even if you used a few hundred yen for the location of the location, the cost performance was good at the time, but if you do not overdo it with the current selling price, you will not regret choosing 13600K, and you are yourself.I think I'm choosing another CPU.The φ120 fan of the image (93.97cfm) was placed below the front from the front, so the CPU temperature was lower and the image was placed.2023/01/03 Postscript The image value of the 4K screen cannot be read, so replace it with FHD.",2 January 2024,"surprised displayed display ( handed ? ... ) came even though arrived , , quite delayed delivery , delivered safely.Not , took almost month change composition , D15S 's 17XX compatible mount kit temporarily missed , seriously changed configuration.The PC difficult , finished PC blue , black screen , freeze-fired nightmare ASUSZ790-PD4CSM+i5-13600K configuration , stable beginning , blue screen OC+Cinevent R23 ( ◎ ) .The PC configuration MB ASROCK Z690 PRO RS+CPU ( ) +memory CFD DDR4 3200 16g × 2+CPU cooler D15S plus 12㎝ fan ( diversion ) , below.Each numbers unlimited power Cineten R23 ( maximum 5g㎐ ) , 65W * short hours 120W * 120W * peak temperature 62 ° C ASUS Z790+i5-13600K configuration 23000 * 18000 , 18000 * 13000 , eachThe performance 72 % .There point look terms performance , much quieter electricity unlimited , seems big difference MB manufacturer used , PC case , CPU cooler.It bit painful buy 11pro.Currently 13600k 47,000 yen , 78 % costs 36600 yen , 72 % , 33840 yen.At 31028 yen time purchase , even used hundred yen location location , cost performance good time , overdo current selling price , regret choosing 13600K , yourself.I think 'm choosing another CPU.The φ120 fan image ( 93.97cfm ) placed front front , CPU temperature lower image placed.2023/01/03 Postscript image value 4K screen read , replace FHD ."
No title,No rating,"An excellent processor I come from a second generation core i7 so the jump is abysmal, recommended",1 January 2024,"excellent processor come second generation core i7 jump abysmal , recommended"
No title,No rating,Noticeable upgrade from my previous cpu (i3-12100) and runs cool and idles at about 10-20 watts in my system doesn't go to the 150w max tdp ive seen as of yet but don't think it has needed to.,31 December 2023,Noticeable upgrade previous cpu ( i3-12100 ) runs cool idles 10-20 watts system n't go 150w max tdp ive seen yet n't think needed .
No title,No rating,"Intel i5 g12 processor with integrated graphics, yields excellent with its basic frequency without the need of the turbo mode. It is required too much, nothing that a good air cooling does not maintain fresh. Excellent processing with its 10 real cores and 16 threads.for its cost - benefit ratio.",30 December 2023,"Intel i5 g12 processor integrated graphics , yields excellent basic frequency without need turbo mode . required much , nothing good air cooling maintain fresh . Excellent processing 10 real cores 16 threads.for cost - benefit ratio ."
No title,No rating,This cpu is probably one of the best bangs for the buck at 200$  compared to others of similar quality I know cuz I bought a r5 7600 a year ago back for 300$ not the point this cpu replaced an i5 8400 I originally upgraded the gpu from a 1060 6gb to a 1660 super and only got a a few fps increase the reason being while games were starting it would bottom out at 10fps before returning to normal we were than at the time before cpu upgrade bottoming out at 13fps now after upgrading cpu I noticed the fps is now 27fps at its lowest while I understand most gamers would do anything for a single fps I just don't feel the end result is as great as I was hoping however my goal was reached by increasing the minimum fps also has overclocking capability but have not tried to play with any of that as of writing this nor am I comfortable with doing so,30 December 2023,cpu probably one best bangs buck 200 $ compared others similar quality know cuz bought r5 7600 year ago back 300 $ point cpu replaced i5 8400 originally upgraded gpu 1060 6gb 1660 super got fps increase reason games starting would bottom 10fps returning normal time cpu upgrade bottoming 13fps upgrading cpu noticed fps 27fps lowest understand gamers would anything single fps n't feel end result great hoping however goal reached increasing minimum fps also overclocking capability tried play writing comfortable
No title,No rating,Arrived quick and worked without a problem,28 December 2023,Arrived quick worked without problem
No title,No rating,Running fast,28 December 2023,Running fast
No title,No rating,"I am just your average budget gamer. I upgraded from a i5-6500 and oh boy the difference in speed in gaming and productivity is night and day. Love this, bought it on Black Friday sale. Best buy.",28 December 2023,"average budget gamer . upgraded i5-6500 oh boy difference speed gaming productivity night day . Love , bought Black Friday sale . Best buy ."
No title,No rating,"Just built a new machine with an MSI board and did not want to spend too much.  This CPU has decent performance and was over $100 less than the next generation up.  My board will accept 12, 13 and 14 gen CPU's so maybe I will update in a few years.",25 December 2023,"built new machine MSI board want spend much . CPU decent performance $ 100 less next generation . board accept 12 , 13 14 gen CPU 's maybe update years ."
No title,No rating,Very Good,25 December 2023,Good
No title,No rating,for $ 150 in November 2023 Black Friday in promotion do not hesitate to buy it for the new PC that I am Armando,24 December 2023,$ 150 November 2023 Black Friday promotion hesitate buy new PC Armando
No title,No rating,"Bought for a Mini-ITX Build for my daughter when it was on sale for $149.99, felt like a nice value for Q4 2023.  Didn't overclock this one, but could as it runs at just 48 degrees Celsius under load from Cinebench R23 with the (just-barely-fits-in-the-case) ThermalRight Peerless Assassin 120 SE ARBG.  Side note: for anybody building a PC, that Peerless Assassin is the CPU air cooling champion at ~$40.  This 12600k processor is more power hungry than some of it's AMD competitors, but having recently purchased an AMD 7800x3d for my own computer that's requiring a bit more work to optimize and get running properly, this 12600k was perfect.  Intel stuff in my experience just tends to run good.",24 December 2023,"Bought Mini-ITX Build daughter sale $ 149.99 , felt like nice value Q4 2023 . n't overclock one , could runs 48 degrees Celsius load Cinebench R23 ( just-barely-fits-in-the-case ) ThermalRight Peerless Assassin 120 SE ARBG . Side note : anybody building PC , Peerless Assassin CPU air cooling champion ~ $ 40 . 12600k processor power hungry 's AMD competitors , recently purchased AMD 7800x3d computer 's requiring bit work optimize get running properly , 12600k perfect . Intel stuff experience tends run good ."
No title,No rating,"I'm loving my newly build, but still don't know what GPU to buy, so i'm stuck to iGPU... have not experiencing issue so far with this CPU, i'm using the iGPU and it lets me play Dota 2 on medium settings at 1440P which is awesome!",23 December 2023,"'m loving newly build , still n't know GPU buy , 'm stuck iGPU ... experiencing issue far CPU , 'm using iGPU lets play Dota 2 medium settings 1440P awesome !"
No title,No rating,Why… just… why is that not prominently mentioned… awful….,21 December 2023,Why… just… prominently mentioned… awful… .
No title,No rating,Best mid-range gaming cpu,21 December 2023,Best mid-range gaming cpu
No title,No rating,Performs well games well. Overall great with great single core performance and runs all my games really smoothly.,21 December 2023,Performs well games well . Overall great great single core performance runs games really smoothly .
No title,No rating,"This processor with the rebuild of our desktop build has been very loyal and powerful. Mixed with a DeepCool AK620 and non overclocked I finally figure out the formula too achieve 4K ultra Gaming on most games that I play on a regular basis. I play numerous of strategy games but I do also play Grand Theft Auto (as an escape...) American truck simulator as of late and Roblox. The processing performance has been excellent. I hope that one day I can overclock one of these processors without having to worry about frequencies and voltages. Basically said it's it's 12th generation processor and that's been recent in the past two to three years. It is on the mid-range of the spectrum for Intel i5, but really just seems to automate on its own and it actively will try to lower utilization numbers once it's processed what it has to process. I can go through a hundred tabs an hour and not have to worry about internal latency. It's good",21 December 2023,"processor rebuild desktop build loyal powerful . Mixed DeepCool AK620 non overclocked finally figure formula achieve 4K ultra Gaming games play regular basis . play numerous strategy games also play Grand Theft Auto ( escape ... ) American truck simulator late Roblox . processing performance excellent . hope one day overclock one processors without worry frequencies voltages . Basically said 's 's 12th generation processor 's recent past two three years . mid-range spectrum Intel i5 , really seems automate actively try lower utilization numbers 's processed process . go hundred tabs hour worry internal latency . 's good"
